Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Сиротенко,Дарина,Олександрівна,Жіноча,19.03.1993,Ветеринар,село Тернівка ,"проспект Виноградна 3-тя, буд. 3, Вільногірськ, 07439",+380 76 795 61 48,edytaustenko@example.org
Безбородько,Варвара,Андріївна,Жіноча,13.04.1966,Юрист,місто Лебедин,"шосе Французький, буд. 247, Олександрія, 94133",079 340 78 90,vatamaniukvasylyna@example.com
Рябовіл,Пріска,Федорівна,Жіноча,12.09.2001,Кінолог,селище Самбір,"узвіз Академіка Векслера, буд. 773 кв. 15, Березань , 50112",+380 72 503-44-08,bmamchur@example.org
Єресько,Тетяна,Петрівна,Жіноча,29.11.1941,Хімік,хутір Пустомити,"провулок Лінія 41-ша, буд. 07 кв. 33, Ланівці, 54185",+380 31 283-26-47,hordii55@example.net
Масляк,Роксолана,Федорівна,Жіноча,02.04.2007,Хімік,селище Золотоноша,"шосе Ромашкова, буд. 7, Глиняни, 47775",092 033-66-03,vladyslavcherednyk@example.net
Рубан,Ірина,Петрівна,Жіноча,29.11.1992,Стропальник,місто Вознесенівка,"проспект Гетьманський, буд. 73, Христинівка, 12979",+380 (71) 002-66-00,yieresko@example.org
Вахній,Алла,Михайлівна,Жіноча,24.10.1970,Дизайнер,селище Павлоград,"площа Аркаса Миколи, буд. 68, Ржищів, 30612",+380 (50) 609-41-86,irynaartemenko@example.org
Фастенко,Орина,Дмитрівна,Жіноча,08.05.1956,Професор,місто Галич,"вулиця Жаботинського, буд. 301, Красилів, 66020",+380 27 004-38-35,emiliiafesenko@example.org
Гузій,Клавдія,Сергіївна,Жіноча,22.11.1988,Бібліотекар,село Іловайськ,"парк Пироговський, буд. 24 кв. 37, Сімферополь, 65179",354-25-35,rozaliiatykhyi@example.org
Скирда,Юстина,Федорівна,Жіноча,03.07.1941,Парфюмер,хутір Калинівка ,"шосе Олександра Невського 1-й, буд. 6 кв. 5, Ладижин, 30457",080 432-68-94,zlatoslavalavrenko@example.net
Онищенко,Альбіна,Дмитрівна,Жіноча,02.04.1963,Каскадер,хутір Боярка,"парк Зелена, буд. 814 кв. 47, Чоп, 82436",096 725 12 79,uzinchenko@example.net
Венгринович,Ольга,Федорівна,Жіноча,06.02.1977,Фізик,хутір Помічна,"парк Проїзний 3-й, буд. 85, Бердянськ, 63113",358-96-94,tshyian@example.org
Годунок,Христина,Петрівна,Жіноча,29.07.1987,Мінералог,хутір Ходорів,"набережна Південна, буд. 01 кв. 901, Білопілля, 27026",055 603 30 79,shchyrytsiaboryslav@example.com
Франчук,Клавдія,Петрівна,Жіноча,10.12.1956,Юрист,місто Донецьк,"парк Восьмого березня узвіз, буд. 9, Борзна, 49994",966-68-35,kriabchenko@example.com
Литвиненко,Златослава,Володимирівна,Жіноча,05.06.1954,Нотаріус,село Горлівка,"площа Новгородський 2-й, буд. 5, Горлівка, 52295",+380 64 490-91-79,solomon67@example.org
Оніщук,Пріска,Петрівна,Жіноча,06.04.1996,Біолог,селище Бунге ,"площа Бессарабська, буд. 689 кв. 48, Глухів, 73967",+380 49 626-07-79,priskatykhyi@example.com
Гаврилишин,Розалія,Вікторівна,Жіноча,18.03.1958,Геофізик,місто Сквира,"набережна Виноградна 2-га, буд. 92 кв. 77, Глиняни, 69288",046 225-66-71,danylo17@example.net
Москаль,Лілія,Андріївна,Жіноча,27.09.1981,Кінокритик,село Зугрес,"узвіз Казанська, буд. 19 кв. 254, Рудки, 86741",+380 (82) 299-46-69,ielyseiakulenko@example.org
Цюпа,Надія,Михайлівна,Жіноча,09.09.1949,Державний службовець,місто Черкаси,"сквер Старокінний, буд. 7, Нова Каховка, 33910",013 315 75 47,vladyslav14@example.net
Стус,Анастасія,Олександрівна,Жіноча,30.10.1949,Складальник,селище Баштанка,"узвіз Троїцького Миколи, буд. 105 кв. 511, Радивилів, 28615",+380 (19) 750-47-58,emazepa@example.org
Овсієнко,Лілія,Петрівна,Жіноча,29.03.1995,Пекар,село Бахмут,"шосе 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 61, Канів, 54835",+380 28 666-92-38,bohdanrak@example.net
Дурдинець,Варвара,Федорівна,Жіноча,21.07.1965,Гицель,селище Чортків,"парк Станційна 3-тя, буд. 591 кв. 2, Нетішин, 28535",351 47 31,zynovii20@example.net
Сацюк,Людмила,Федорівна,Жіноча,21.06.1965,Складальник,селище Суходільськ,"сквер Трудовий, буд. 95 кв. 396, Дубляни, 11464",013-22-27,piatachenkoiustym@example.net
Червоненко,Володимира,Петрівна,Жіноча,15.12.2003,Графік,село Охтирка,"шосе Леонтовича, буд. 08, Болград, 85767",082 220-52-44,hlib52@example.net
Ващенко,Марʼяна,Вікторівна,Жіноча,27.02.1947,Мистецтвознавець,селище Мелітополь,"сквер Пастера, буд. 20 кв. 74, Соснівка , 08889",+380 50 377-69-33,balabantymofii@example.net
Левченко,Пріска,Вікторівна,Жіноча,10.07.1956,Художник,селище Суходільськ,"площа Ланжеронівський узвіз, буд. 00, Євпаторія, 92137",+380 42 622-66-77,mykytagereta@example.net
Михалюк,Володимира,Федорівна,Жіноча,04.02.1983,Державний службовець,селище Кременчук,"набережна Сибірська, буд. 38 кв. 08, Хрестівка, 56507",+380 (87) 431-96-73,zhuchenkooleh@example.com
Василашко,Наталія,Сергіївна,Жіноча,07.11.1998,Медик,місто Шостка,"проспект Лінія 50-та, буд. 70, Шпола, 29548",+380 (15) 097-33-62,ihnattelizhenko@example.com
Пилипенко,Варвара,Петрівна,Жіноча,06.01.2005,Головний меркшейдер,село Сіверськ,"проспект Асташкіна, буд. 15 кв. 705, Амвросіївка, 08402",553 18 55,iustyna09@example.net
Шило,Аліна,Федорівна,Жіноча,15.10.1961,Підприємець,місто Олешки,"узвіз Богуна, буд. 0 кв. 827, Дружба , 27691",070 420 92 51,wivasiuk@example.net
Яременко,Ірена,Дмитрівна,Жіноча,12.09.1938,Історик,місто Помічна,"узвіз Лїнія 1-ша, буд. 5, Географія Вільнянська, 04615",+380 (26) 093-63-28,okhrim91@example.net
Масоха,Еріка,Петрівна,Жіноча,30.06.1987,Продюсер,місто Щастя ,"вулиця Лінія 41-ша, буд. 3, Покровськ, 30123",+380 49 268 06 95,nataliia12@example.net
Шамрай,Лариса,Дмитрівна,Жіноча,07.08.1974,Композитор,місто Нетішин,"набережна Високий, буд. 9 кв. 5, Гадяч, 88414",926-09-49,korpaniuksviatoslava@example.com
Чекалюк,Віолетта,Андріївна,Жіноча,23.07.1950,Електротехнік,хутір Ворожба,"парк Самарська, буд. 577 кв. 3, Лиман , 66080",350 18 23,avhustynopanasenko@example.com
Гайворонський,Емілія,Володимирівна,Жіноча,05.07.1978,Епідеміолог,хутір Чернівці,"вулиця Кругова, буд. 8, Миколаївка , 16368",058 028-36-20,anita62@example.net
Джунь,Єлисавета,Олександрівна,Жіноча,19.06.1991,Дизайнер,місто Мерефа,"узвіз Художника Федорова, буд. 069, Чортків, 04870",900-93-76,oleksadubyna@example.org
Авраменко,Ірина,Вікторівна,Жіноча,16.06.1982,М'ясник,село Новоселиця,"площа Мінська, буд. 04 кв. 3, Саки , 39134",037 831 27 08,ddanyliuk@example.org
Килимник,Валентина,Сергіївна,Жіноча,21.11.1938,Редактор,село Рені,"провулок Санаторний, буд. 226, Пирятин, 50103",+380 (65) 120-42-93,matiashhalyna@example.net
Масляк,Пріска,Олександрівна,Жіноча,12.07.1950,Піаніст,місто Глобине,"набережна Осипова, буд. 36, Рубіжне, 51747",+380 36 445 23 44,izhakmilena@example.com
Ткач,Світлана,Іванівна,Жіноча,23.03.1985,Хімік,село Могилів-Подільський,"площа Леваневського, буд. 685 кв. 394, Старокостянтинів, 90573",576-47-84,havrylyshynamaliia@example.net
Лукаш,Анжела,Федорівна,Жіноча,19.02.1940,Промисловець,селище Новодружеськ,"сквер Тетяни Тесс, буд. 517 кв. 23, Снігурівка, 59620",044 582-00-98,danna23@example.com
Андрощук,Лілія,Дмитрівна,Жіноча,26.12.1991,Бухгалтер,село Борзна,"шосе П'ята, буд. 108, Самбір, 13060",796 57 64,umatiash@example.com
Бандера,Сніжана,Володимирівна,Жіноча,07.02.1943,Інженер,місто Єнакієве,"проспект Естонська, буд. 067, Ізмаїл, 05975",+380 67 122-19-32,hlibnehoda@example.net
